0	1
کار بعدی	The next thing they did was to take their clothes off ...
فرار به جلو	to escape or break forward
بس شگفت	Very strange, extremely odd
Olgooyeh shekast	failure pattern
dastetoon dard nakoneh	More power to your elbow!/More power to you!
EnherAfeh meyAr	standard deviation
Geranrookeshsani	elastoviscous
Elevator pitch	نطق آسانسوری
KhatAyeh bagimandeh	Residual error
Naghzeh borazesh	lack of fit
قافله سالاری	leadership, pioneering (lit. leader of a caravan)
...تا چه رسد به	let alone...
ثروت و سامان	wealth and prosperity
دیگی که برای کارگران نمی‌جوشد	(something) that has no benefit for the workers
از همان جا داد بزنند تا من بشنوم	Woman: Well, tell them shout it out from there so that I can hear.
cheghermegi	Toughness
قابلیت کارکرد موتور	engine/motor output capacity
سه راهی شیردار	three-way connector with valve(s)
سوخت تقطیری	distillate fuel
موتورهاا اهميت ويژه اي پيدا كنند	become of special concern/ gain a special importance/significance
GarmAyeh vijeh	specific heat/thermal capacity
بازنگري	review
kasr e hajmieh mAddeh	Volume fraction of the constituent
گواهي اشتغال به كار	Employment Certificate
garmavazn sanji	Thermogravimetric analysis
Khakeh rosseh eslah shodeh	Modified clay
rizsakhtAreh nanocomposite	Nonocomposite microstructure
estehkameh kesheshieh amood bar alyaf	Tensile strength perpendicular to grain
Keshesheh movAzi bar alyaf	Tension parallel to grain
ezdiadeh tooleh amood ba alyaf	Elongation parpendicular to grain
ezdiadeh tooleh movAzi ba alyaf	Elongation parallel to grain
darsadeh (%) vazni	Percentage by weight
ezdiadeh tool ta paregi	Elongation at break
Tanesh	stress
Kornesh	strain
Parash sanj	diffractometer
soraat e khatiieh fada shodan	linear ablation rate
Ayegheh havi	insulator containing
لنت ترمز	Brake pad
Fadashavandegi	ablative
به پاهای قرصم روی زمین نگاه کنم	look at my unshaking/firm feet on the ground
Slim in	نگرانی من در باره کشور آمریکاست که حاضر هستید در آن زندگی کنیم
خر چه داند قیمت نقل و نبات	cast (one's) pearls before swine
حالم به هم می خورد	It makes me feel sick
تو کف بودن	to be filled with longing
قرار گرفت	amounted to
تزلزل سیاسی	political instability
مفاصا حساب دارایی	Tax clearance certificate
نرمالیته سود	NaOH Normality
تحت تاثیر	affected by
بدفرم	malformed
راهنمایی	supervision
بزه دیده شناس	Victimologist
جایگزین حبس	Alternative to incarceration
رگ گیری	(finding) IV/intravenous line
to cap/crown/top it all (off)	بدتر از همه اینکه....
درناژ چارت شد	the drainage was charted
هاله حرارتی	thermal halo
پایین بودن سن	early age
حول و قوه	might and power
سیر حوادث	chain of events, course of events
به سوی خدا بیزاری جستن	to seek God's absolution by hating (someone or something)
آبدارچي	tea boy, Tea lady
واي به حال تو	let alone, say nothing of you
وحی تشریعی	prescriptive/legislative revelation
پس بگو	Now I see!
تجلیات اسمائی	manifestations of Names
کثرت وجود	superabundance of being
همينم مونده كه.....	all I needed was...
خطابه‌ گویی	making, giving, delivering oration
به محض اینکه	As soon as
خواه ناخواه	Like it or not, inevitably, unavoidably
از آن طرف پشت بام افتادن	To overdo something; to take too wide an approach
تا حتی الامکان	as far as possible, to the extent possible
دنبال میز و جیب شان هستند	They are holding onto their desks and lining their pockets
اصل و نفس	root and branch; basis and essence
حیاط هیات دولت	yard of the presidential office building
بازی‌ در دونقش	Dual role-playing
هرچي خدا بخواهد	Whatever God wills/ whatever God wants
هم هوایی	Soul Mate Symptoms -- Homesick Mate
تأثیرپذیری	affectibility
گند کثافت کاری هاش در نیاد	so the shit wouldn't hit the fan
آیین نامه انضباط کار	corporate code of conduct
قدرت گرفتن يزيد	come to power/take power/take control
استفاده ابزارى	instrumental use
no objections	اعتراضی ندارم
سهم چیزی در توضیح	the part something plays in explaining...
اتفاق مبارک	fortunate event
انقلاب از بالا	Revolution from above
قساوت	hard-heartedness
تشبیه گرایان	supporters of Tashbih
ماده استدلال	in ratiocination, in the real sense of the word/ in the real sense of ratiocination
گزاره ها	propositions
ظهر و بطن	the words and the interpretations
وضع	Forging/ Fabrication
جاریه	female offspring
طراحی دست آزاد	free hand drawing/drafting/design
برون دینی	non-confessional
ظهور در حرمت	realization in religious illegality/prohibition
اصلاح و درمان	rehabilitation
ایستگاه های تقویت فشار گاز	Compressor station
رفع ايراد ميشود	fix the problem
شهرهای برنج خیز	rice-bearing/rice-producing cities
نهاده‌های کشاورزی مخصوص برنج	rice-specific agricultural inputs
بخش ماشین آلات مخصوص برنج	rice machinery sector
سوابق و تجربیات درخشان	Brilliant backgrounds and experiences
دارد از دست می رود	there is no hope for him.
رادیو مادیو	radio-shmadio
parameterized	پارامتری شده/پارامتر بندی شده
machine learning task	کار یادگیری ماشینی/ماشین وار
being that	این است که
کار از دست می رفت	All would come to an end -- All would go under
مته به خشخاش گذاشتن	to go into the hair-splitting details/ to go into the petty details
بخش حقوق بین الملل	international law
کانون گرم خانواده	warm family hearth
کانون خانواده	family hearth
projections	نمود
systems models	مدل های سیستمی/سیستمیک/حاکم بر نظام ها
contingency available at the discretion	لحاظ شود CFCOG همراه با 100000 دلار که می تواند به تشخیص
swinging into the country	با سرعت/تند به .... مي خزيدند
He thought that funny	به نظرش بانمک/بامزه آمد-- به نظرش آمد بانمک/بامزه است
He started putting up	داشت دستشو بالا میبرد
Swiss cow-bell	زنگوله
گره کور	Gordian knot, deadlock, stalemate, insoluble problem
اعتدال گرایی	moderation/moderationism
بیمارگونه	disease-like
موسوعه	Encyclopedia
تبارشناسی	Genealogy
متضایف	Correlative/interrelated
مودیان مالیاتی	taxpayers
تکفیر از تأسیس تثبیت	excommunication since the very beginning of establishment/stabilization
جاه	Dignity/(high) status/glory
اجمال و اتفاق	implicitly vs. unanimously
برون رفت	exit
پایگاه اطلاع رسانی آثار	Website for the works/publications of...
تفسیق می شدند	were accused of debauchery
سلب بهانه	to remove (any) excuses from
ثنایی	dualism
به نسخ قائل می‌شدند	adjudged them void
نرخ	rate
به اندازه 0.0143 کاسته خواهد شد	will decrease by 0.0143
به ازاي هر 1000 تومان افزايش هزينه	per/for each 1000-toman increase in costs
اگر هزينه سفر به اين منطقه صفر باشد	If the costs of travelling to this area are none,..
برنامه ریزی	planning
سر و وضع	appearance, clothes, looks
راه و چاه	The ropes / do's and don't's / the solution
عملکرد	Fiscal year for سال عملکرد and Type of activity or Type of entity for نوع عملکرد
مودی	taxpayer
ساقی و باقی	serving (ones)- deserving (ones)
فعالیت همه جانبه	effort from all sides
تلقی به قبول کردن	to believe/take something to imply acceptance
باز و جمع شدن (صندلی)	kick back and restore
هنرورزی	workmanship/craftsmanship/artisanship
به دست ايادى	by ... agents
مراجعه به مراجع	recourse to authorities, calling on the authorities
پوست کلفت	thick-skinned
به گمان جلب نظر	in order to curry favor with/ingratiate
تعمیرات دیزل	diesel repairs
طراحی مدار برش سنگ	stone cutting water circuit design
برق کشی سوله های مرغداری	wiring the poultry house
از هیچ خدعه‌ای فروگذاری نکرده	Having not stopped short of any ruse/deception.
علوم تجربی	Experimental Sciences
سفارش کردن	to ask one\'s special consideration for
